index,brand,Model,gpu_type,Vram,processor_brand,processor_tier,ram_memory,primary_storage_type,primary_storage_capacity,is_touch_screen,display_size,resolution_width,resolution_height,OS,Price
12,samsung,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,13.3,1080,1920,windows,64990
13,msi,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graphics),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,52990
14,asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 7,16,TRUE,512,FALSE,16,1920,1200,windows,57390
15,lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,47490
16,hp,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB TRUE/ Win11 Home/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,1024,FALSE,16.1,2560,1440,windows,153990
17,lenovo,Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/Win11),integrated,0,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,49990
18,asus,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i7,16,TRUE,1024,FALSE,15.6,1920,1080,windows,75990
19,hp,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,55490
20,wings,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1080,1920,windows,27990
21,hp,HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB TRUE/ DOS),integrated,0,amd,other,4,TRUE,256,FALSE,15.6,1366,768,dos,19299
22,lenovo,Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 3,8,TRUE,512,FALSE,15.6,1920,1080,windows,27990
23,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB TRUE/ macOS),apple,0,apple,m3,8,TRUE,1024,FALSE,16.2,3456,2234,mac,399900
24,asus,Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,39990
25,asus,Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,256,FALSE,15.6,1920,1080,windows,27990
26,acer,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,77990
27,hp,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB TRUE/ Win11/ 6GB Graph),dedicated,6,amd,ryzen 7,16,TRUE,1024,FALSE,16.1,1920,1080,windows,78990
28,ultimus,Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,8,TRUE,512,FALSE,14.1,1920,1080,windows,19990
30,hp,HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,71999
31,msi,MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i7,16,FALSE,1024,FALSE,15.6,1920,1080,windows,66780
32,samsung,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,44990
33,samsung,Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,47990
34,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,47990
35,asus,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,16,1920,1200,windows,46990
36,apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB TRUE/ MacOS),apple,0,apple,m2,8,TRUE,256,FALSE,13.6,2560,1664,mac,102990
37,dell,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,68239
38,acer,Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,1024,FALSE,15.6,1920,1080,windows,46990
39,acer,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,16,TRUE,512,FALSE,15.6,1920,1080,windows,34990
40,hp,HP 15s-fr5011TU Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,53990
41,asus,Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,16,1920,1200,windows,63990
42,asus,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 9,16,TRUE,512,TRUE,13.4,1920,1200,windows,113571
43,hp,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,88800
45,hp,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,53570
46,hp,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,amd,ryzen 7,16,TRUE,1024,FALSE,16,1920,1080,windows,116990
47,hp,HP Victus 15-fa0555TX  Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,70810
48,dell,Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,81290
49,msi,MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,8,TRUE,512,FALSE,14,1920,1080,windows,35950
50,asus,Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB TRUE/ Win11 Home/ 12GB Graph),dedicated,12,intel,core i9,32,TRUE,1024,FALSE,16,2560,1600,windows,269990
51,msi,MSI Thin GF63 12VE-071IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/6GB Graphics),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,69990
53,dell,Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,14,1920,1080,windows,39649
56,infinix,Infinix INBook Y1 Plus 15 XL28 Laptop (10th Gen Core i5/ 8GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,29990
57,acer,Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,32990
58,hp,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,amd,ryzen 7,16,TRUE,512,FALSE,16.1,1920,1080,windows,83590
59,hp,HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,54490
60,hp,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,42499
61,infinix,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,14,1920,1080,windows,27990
62,hp,HP Omen 16-u0005TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB TRUE/ Win11 Home/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,1024,FALSE,16.1,2560,1600,windows,147990
63,asus,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,17.3,1920,1080,windows,74085
64,dell,Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB TRUE/ Win11),integrated,0,intel,core i7,16,TRUE,1024,FALSE,14,1920,1200,windows,86490
65,asus,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,60990
66,lenovo,Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,56990
67,dell,Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,16,2560,1600,windows,72490
68,asus,Asus VivoBook 14 X415EA-EK344WS Notebook (11th Gen Core i3/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,16,TRUE,512,FALSE,14,1920,1080,windows,35990
69,asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB TRUE/ Win11 Home/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,108990
70,asus,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,57990
71,hp,HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,69999
72,hp,HP Victus 15-fa0666TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,71990
73,apple,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB TRUE/ MacOS),apple,0,apple,m2,8,TRUE,256,FALSE,15.3,2880,1864,mac,119990
74,infinix,Infinix INBook Y1 Plus Neo XL30 Laptop (Intel Celeron N5100/ 8GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,celeron,8,TRUE,512,FALSE,15.6,1920,1080,windows,26990
75,hp,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,1024,TRUE,14,1920,1080,windows,77899
76,primebook,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),integrated,0,other,other,4,FALSE,64,FALSE,11.6,1366,768,android,14990
77,dell,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,50000
78,acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,56990
79,hp,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,57990
80,hp,HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,16.1,1920,1080,windows,49999
81,asus,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,2880,1800,windows,72490
82,asus,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,69689
83,iball,iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),integrated,0,intel,other,2,FALSE,32,FALSE,11.6,1366,768,windows,9800
84,ultimus,Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB TRUE/ Win11 Home),integrated,0,intel,celeron,8,TRUE,256,FALSE,14.1,1366,768,windows,15990
85,dell,Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,1024,FALSE,15.6,1920,1080,windows,83990
86,asus,Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,1920,1080,windows,46990
87,hp,HP Pavilion 15-EG2119TU Laptop (12th Gen Core i5/12GB RAM/ 512GB TRUE/ Win11),integrated,0,intel,core i5,12,TRUE,512,FALSE,15.6,1920,1080,windows,60990
88,lenovo,Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,44990
89,lenovo,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB TRUE/ Win11),integrated,0,amd,ryzen 3,8,TRUE,512,FALSE,15.6,1920,1080,windows,34990
90,hp,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,1024,FALSE,15.6,1920,1080,windows,66990
91,lenovo,Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,other,8,TRUE,512,FALSE,15.6,1920,1080,windows,24440
92,hp,HP Victus 15-fb1002AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,51990
93,msi,MSI Thin GF63 11SC-1629IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,54990
94,ultimus,Ultimus Pro NU14U3INC43BN-CS Laptop (Celeron N4020/ 4GB/ 128GB TRUE/ Win11 Home),integrated,0,intel,celeron,4,TRUE,128,FALSE,14.1,1366,768,windows,11990
95,lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB TRUE/ Win11),integrated,0,amd,ryzen 7,8,TRUE,512,FALSE,15.6,1920,1080,windows,48990
96,msi,MSI Katana 15 B13UDXK-1482IN Gaming Laptop (13th Gen Core i5/ 32GB/ 1TB TRUE/ Win11 Home/ 6GB Graph),dedicated,6,intel,core i5,32,TRUE,1024,FALSE,15.6,1920,1080,windows,74990
97,msi,MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,49990
98,asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,53990
99,asus,Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i9,16,TRUE,512,FALSE,16,1920,1200,windows,81689
100,lenovo,Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,63889
101,lenovo,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,37040
102,asus,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,16,1920,1200,windows,94990
103,infinix,Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB TRUE/ Win 11 Home),integrated,0,intel,core i5,16,TRUE,1024,FALSE,14,1920,1080,windows,35990
104,asus,Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 7,16,TRUE,512,FALSE,15.6,1920,1080,windows,72990
105,hp,HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,55990
106,lenovo,Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB TRUE/ Win11 Home),integrated,0,amd,ryzen 7,16,TRUE,1024,TRUE,14,2880,1800,windows,94990
107,hp,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB TRUE/ Win 11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,51800
109,hp,HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,49775
110,asus,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,53990
112,lenovo,Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,79990
113,msi,MSI Modern 15 B11M-061IN Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,41990
114,acer,Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB TRUE/ Win11),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,37990
115,asus,Asus Vivobook 14X K3405ZFB-KM752WS Laptop (12th Gen Core i7 /16GB/ 1TB TRUE/Win11/ 4GB Graphic),dedicated,4,intel,core i7,16,TRUE,1024,FALSE,14,2880,1800,windows,85990
116,acer,Acer Aspire Lite 2023 AL15-51 Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,39499
117,infinix,Infinix Zerobook 13 ZL513 2023 Laptop (13th Gen Core i7/ 32GB/ 1TB TRUE/ Win 11 Home),integrated,0,intel,core i7,32,TRUE,1024,FALSE,15.6,1920,1080,windows,57990
118,asus,Asus Vivobook 14X K3405ZFB-KM541WS Laptop (12th Gen Core i5 /16GB/512GB TRUE/Win11),dedicated,4,intel,core i5,16,TRUE,512,FALSE,14,2880,1800,windows,67990
119,acer,Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,94990
120,asus,Asus TUF Gaming F15 2022 FX507ZC4-HN115W Gaming Laptop (12th Gen Core i5/ 8GB/512GB TRUE/ Win11 / 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,75250
121,acer,Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,47990
122,asus,Asus Zenbook 14X OLED 2023 M5401QA-KM541WS Laptop (Ryzen 5 5600H / 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,14,2880,1800,windows,66990
123,hp,HP Pavilion 15-eh2050AU Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,43700
124,asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop (13th Gen Core i9/ 16GB/ 1TB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i9,16,TRUE,1024,FALSE,16,3200,2000,windows,154990
125,acer,Acer Predator Helios Neo 16 PHN16-71 Laptop (13th Gen Core i7/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i7,16,TRUE,512,FALSE,16,1920,1200,windows,119990
126,acer,Acer Predator Helios Neo 16 NH.QLTSI.001 Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,16,1920,1200,windows,104990
127,hp,HP 250 G8 7M6L7PA Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB TRUE/ Win11),integrated,0,intel,core i3,8,FALSE,1024,FALSE,15.6,1366,768,windows,34890
128,hp,HP 15-fc0025AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 3,8,TRUE,512,FALSE,15.6,1920,1080,windows,32490
129,hp,HP 15-fc0028AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,43400
130,lenovo,Lenovo Thinkbook 15 21DJA049IH Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,40990
